№ проверки,Модуль ,Название проверки,Результат прохождения,ссылка на дефект
,Регистрация пользователя,Регистрация нового пользователя,Passed,
1,,Пользователь с данными существует в системе.,,
2,,Пользователь с данными не существует в системе.,,
3,,"Пользователь, заблокированный в системе, не может пройти повторную регистрацию.",,
4,,"Регистрация нового пользователя, используя аккаунт социальных сетей",,
5,,При регистрации нового пользователя ему приходит подтверждение по электронной почте.,,
,Авторизация и работа с профилем,Создание нового аккаунта,,
1,,Авторизация с существующим аккаунтом.,,
2,,Пользователь с введенным логином не существует в системе. ,,
3,,"Авторизация пользователя, используя аккаунт социальных сетей",,
4,,"Пользователь с введенным логином существует в системе, но пароль неверный. ",,
5,,"Пользователь с введенным логином и паролем существует в системе, но заблокирован модерацией (страница заморожена).",,
6,,Валидация полей ввода.,,
7,,Восстановление/сброс забытого паоля,,
8,,Редактирование профиля пользователя,,
9,,При оформлении подписки на уведомления пользователю приходит подтверждение по электронной почте.,,
10,,При смене пароля пользователю приходит подтверждение по электронной почте,,
,Навигация,"При выполнении действий (например, выход из аккаунта) и манипуляциях с данными (например, удаление файла) отображается сообщение с подтверждением",,"

    фильтры (цена, производитель, важные характеристики товара, например, размер и цвет, возможность выбрать товары со скидкой)
    умный фильтр с ссылками для seo или “часто ищут”
    сортировка (по рейтингу, дате поступления, цене, алфавиту, размеру скидки)
    быстрый просмотр карточек товаров
    возможность добавить в избранное
    добавление товара к сравнению
    возможность формировать отдельные страницы для брендов
    возможность показывать товар в нескольких категориях

"
1,,Корректность работы сортировки.,,
2,,Корректность работы фильтрации.,,
3,,Корректность работы кнопок и ссылок в меню навигации,,
4,,"Отображение страницы с ошибкой 404, если пользователь указал неверный путь к файлу или URL.",,
5,,Результаты существуют/не существуют в поиске,,
6,,Корректное сообщение о пустом результате.,,
,Валидация полей,,,Черновик
,Всплывабщие сообщения,,,Черновик
,Фильтры,,,Черновик
,"Кеш, cookie и сессии",,,Черновик
,Загрузка и скачивание файлов,,,Черновик
,Интеграция с социальными сетями,,,Черновик
,"То, что касается интернет магазина",,,Черновик
,Главная ,,,Черновик
,Каталог,,,Черновик
,Корзина,,,Черновик
,Личный кабинет пользователя,,,Черновик
